"ticker","sector","industry"
"AAMC","Financial Services","Asset Management"
"AAU","Basic Materials","Gold"
"ACU","Consumer Defensive","Household & Personal Products"
"ADRA","Financial Services","Shell Companies"
"ADRA-UN","",""
"ADRA-WT",NA,NA
"ADRT","Financial Services","Shell Companies"
"ADRT-UN","",""
"ADRT-WT","",""
"AE","Energy","Oil & Gas Refining & Marketing"
